Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),3757,1850,1907
Autonomous Vehicles and Robotics,6773,3080,3693
Core Vision Algorithms,10076,4404,5672
Data Collection and Management,8351,3815,4536
Datasets and Benchmarks,3678,1679,1999
Ethics and Fairness in Vision,423,163,260
Generative Models and Creativity,2042,997,1045
Human-Centric Vision,1541,705,836
Industrial and Manufacturing Applications,3665,1722,1943
Mathematical Foundations,8235,3542,4693
Medical Imaging and Healthcare,755,287,468
Miscellaneous,7640,3421,4219
Natural Language Processing,5467,2533,2934
Natural Scenes and Environmental Analysis,1490,676,814
Scene Understanding and Reconstruction,4937,2311,2626
Security and Surveillance,1138,492,646
Signal and Statistical Processing,2327,975,1352
Tools and Frameworks,3189,1392,1797
Video Analysis and Action Recognition,5952,2705,3247
Vision for Social Good,764,310,454
