Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),599,268,331
Autonomous Vehicles and Robotics,1241,518,723
Core Vision Algorithms,1375,547,828
Data Collection and Management,1782,727,1055
Datasets and Benchmarks,269,107,162
Ethics and Fairness in Vision,36,11,25
Generative Models and Creativity,120,43,77
Human-Centric Vision,252,109,143
Industrial and Manufacturing Applications,437,186,251
Mathematical Foundations,1337,506,831
Medical Imaging and Healthcare,159,58,101
Miscellaneous,361,155,206
Natural Language Processing,735,291,444
Natural Scenes and Environmental Analysis,198,88,110
Scene Understanding and Reconstruction,771,313,458
Security and Surveillance,82,28,54
Signal and Statistical Processing,361,139,222
Tools and Frameworks,421,177,244
Video Analysis and Action Recognition,665,292,373
Vision for Social Good,27,7,20
