Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),1514,740,774
Autonomous Vehicles and Robotics,2996,1382,1614
Core Vision Algorithms,4763,2081,2682
Data Collection and Management,4150,1898,2252
Datasets and Benchmarks,1599,751,848
Ethics and Fairness in Vision,166,80,86
Generative Models and Creativity,835,386,449
Human-Centric Vision,569,275,294
Industrial and Manufacturing Applications,1608,732,876
Mathematical Foundations,3829,1595,2234
Medical Imaging and Healthcare,363,149,214
Miscellaneous,3655,1666,1989
Natural Language Processing,2308,973,1335
Natural Scenes and Environmental Analysis,589,253,336
Scene Understanding and Reconstruction,2250,989,1261
Security and Surveillance,350,158,192
Signal and Statistical Processing,998,403,595
Tools and Frameworks,1295,520,775
Video Analysis and Action Recognition,1694,754,940
Vision for Social Good,313,135,178
