title,author,aff,university_affiliation,university_country,company_affiliation,company_country,abstract,site,oa,pdf,project,github,arxiv,track,status,ieee_link,ieee_keywords,ieee_index_terms,ieee_author_keywords,ieee_citations,ieee_abstract
3C-Net: Category Count and Center Loss for Weakly-Supervised Action Localization,"Sanath Narayan, Hisham Cholakkal, Fahad Shahbaz Khan, Ling Shao","Inception Institute of Artiﬁcial Intelligence, UAE",100.0,uae,0.0,,"Temporal action localization is a challenging computer vision problem with numerous real-world applications. Most existing methods require laborious frame-level supervision to train action localization models. In this work, we propose a framework, called 3C-Net, which only requires video-level supervision (weak supervision) in the form of action category labels and the corresponding count. We introduce a novel formulation to learn discriminative action features with enhanced localization capabilities. Our joint formulation has three terms: a classification term to ensure the separability of learned action features, an adapted multi-label center loss term to enhance the action feature discriminability and a counting loss term to delineate adjacent action sequences, leading to improved localization. Comprehensive experiments are performed on two challenging benchmarks: THUMOS14 and ActivityNet 1.2. Our approach sets a new state-of-the-art for weakly-supervised temporal action localization on both datasets. On the THUMOS14 dataset, the proposed method achieves an absolute gain of 4.6% in terms of mean average precision (mAP), compared to the state-of-the-art. Source code is available at https://github.com/naraysa/3c-net.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Narayan_3C-Net_Category_Count_and_Center_Loss_for_Weakly-Supervised_Action_Localization_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Narayan_3C-Net_Category_Count_and_Center_Loss_for_Weakly-Supervised_Action_Localization_ICCV_2019_paper.pdf,,https://github.com/naraysa/3c-net,,main,Poster,https://ieeexplore.ieee.org/document/9008791/,"['Videos', 'Training', 'Feature extraction', 'Motion segmentation', 'Computational modeling', 'Task analysis', 'Motion pictures']","['Central Loss', 'Action Localization', 'Activity Characteristics', 'Challenging Problem', 'Action Classes', 'Loss Term', 'Mean Average Precision', 'Separate Features', 'Temporal Localization', 'Weak Supervision', 'Feature Representation', 'Additional Term', 'Fully-connected Layer', 'Optical Flow', 'Single Instance', 'Backbone Network', 'Motion Features', 'Classification Loss', 'Feature Aggregation', 'Video Segments', 'Video Length', 'Action Instances', 'Temporal Boundaries', 'Discriminative Feature Representation', 'Temporal Attention', 'IoU Threshold', 'Strong Supervision', 'Parallel Bars', 'Test Videos', 'Meaning Maps']",,128,"Temporal action localization is a challenging computer vision problem with numerous real-world applications. Most existing methods require laborious frame-level supervision to train action localization models. In this work, we propose a framework, called 3C-Net, which only requires video-level supervision (weak supervision) in the form of action category labels and the corresponding count. We introduce a novel formulation to learn discriminative action features with enhanced localization capabilities. Our joint formulation has three terms: a classification term to ensure the separability of learned action features, an adapted multi-label center loss term to enhance the action feature discriminability and a counting loss term to delineate adjacent action sequences, leading to improved localization. Comprehensive experiments are performed on two challenging benchmarks: THUMOS14 and ActivityNet 1.2. Our approach sets a new state-of-the-art for weakly-supervised temporal action localization on both datasets. On the THUMOS14 dataset, the proposed method achieves an absolute gain of 4.6% in terms of mean average precision (mAP), compared to the state-of-the-art. Source code is available at https://github.com/naraysa/3c-net."
3D Face Modeling From Diverse Raw Scan Data,"Feng Liu, Luan Tran, Xiaoming Liu","Department of Computer Science and Engineering, Michigan State University, East Lansing MI 48824",100.0,usa,0.0,,"Traditional 3D face models learn a latent representation of faces using linear subspaces from limited scans of a single database. The main roadblock of building a large-scale face model from diverse 3D databases lies in the lack of dense correspondence among raw scans. To address these problems, this paper proposes an innovative framework to jointly learn a nonlinear face model from a diverse set of raw 3D scan databases and establish dense point-to-point correspondence among their scans. Specifically, by treating input scans as unorganized point clouds, we explore the use of PointNet architectures for converting point clouds to identity and expression feature representations, from which the decoder networks recover their 3D face shapes. Further, we propose a weakly supervised learning approach that does not require correspondence label for the scans. We demonstrate the superior dense correspondence and representation power of our proposed method, and its contribution to single-image 3D face reconstruction.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Liu_3D_Face_Modeling_From_Diverse_Raw_Scan_Data_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Liu_3D_Face_Modeling_From_Diverse_Raw_Scan_Data_ICCV_2019_paper.pdf,,,,main,Oral,https://ieeexplore.ieee.org/document/9009018/,"['Three-dimensional displays', 'Face', 'Solid modeling', 'Databases', 'Shape', 'Computational modeling', 'Decoding']","['Face Model', '3D Face', 'Raw Scans', '3D Face Model', 'Nonlinear Model', 'Point Cloud', 'Latent Representation', 'Representation Of Identity', 'Oral And Maxillofacial Surgery', 'Linear Subspace', 'Facial Shape', 'Face Representation', 'Dense Correspondence', 'Linear Model', '3D Reconstruction', 'Fully-connected Layer', '3D Scanning', 'Edge Length', 'Multiple Databases', 'Single Vector', '3D Shape', 'Real Scans', 'Shape Representation', 'Neutral Expressions', 'Identical Shape', '3D Landmarks', 'Surface Normals', 'Semantic Errors', 'Chamfer Distance', 'Unit Sphere']",,38,"Traditional 3D face models learn a latent representation of faces using linear subspaces from limited scans of a single database. The main roadblock of building a large-scale face model from diverse 3D databases lies in the lack of dense correspondence among raw scans. To address these problems, this paper proposes an innovative framework to jointly learn a nonlinear face model from a diverse set of raw 3D scan databases and establish dense point-to-point correspondence among their scans. Specifically, by treating input scans as unorganized point clouds, we explore the use of PointNet architectures for converting point clouds to identity and expression feature representations, from which the decoder networks recover their 3D face shapes. Further, we propose a weakly supervised learning approach that does not require correspondence label for the scans. We demonstrate the superior dense correspondence and representation power of our proposed method, and its contribution to single-image 3D face reconstruction."
3D Instance Segmentation via Multi-Task Metric Learning,"Jean Lahoud, Bernard Ghanem, Marc Pollefeys, Martin R. Oswald",KAUST; ETH Zurich,100.0,"saudi arabia, switzerland",0.0,,"We propose a novel method for instance label segmentation of dense 3D voxel grids. We target volumetric scene representations, which have been acquired with depth sensors or multi-view stereo methods and which have been processed with semantic 3D reconstruction or scene completion methods. The main task is to learn shape information about individual object instances in order to accurately separate them, including connected and incompletely scanned objects. We solve the 3D instance-labeling problem with a multi-task learning strategy. The first goal is to learn an abstract feature embedding, which groups voxels with the same instance label close to each other while separating clusters with different instance labels from each other. The second goal is to learn instance information by densely estimating directional information of the instance's center of mass for each voxel. This is particularly useful to find instance boundaries in the clustering post-processing step, as well as, for scoring the segmentation quality for the first goal. Both synthetic and real-world experiments demonstrate the viability and merits of our approach. In fact, it achieves state-of-the-art performance on the ScanNet 3D instance segmentation benchmark.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Lahoud_3D_Instance_Segmentation_via_Multi-Task_Metric_Learning_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Lahoud_3D_Instance_Segmentation_via_Multi-Task_Metric_Learning_ICCV_2019_paper.pdf,https://sites.google.com/view/3d-instance-mtml,,,main,Oral,https://ieeexplore.ieee.org/document/9008793/,"['Three-dimensional displays', 'Semantics', 'Two dimensional displays', 'Task analysis', 'Proposals', 'Labeling', 'Measurement']","['Instance Segmentation', 'Metric Learning', '3D Segmentation', '3D Instance', '3D Instance Segmentation', 'Benchmark', '3D Reconstruction', 'Direct Information', 'Depth Camera', 'Post-processing Step', '3D Scene', 'Object Instances', 'Voxel Grid', 'Instance Labels', 'Feature Space', 'Object Detection', 'Point Cloud', 'Receptive Field', '3D Space', 'Bounding Box', 'Semantic Labels', 'Segmentation Labels', 'Object Proposals', 'Semantic Segmentation', '3D Data', '3D Grid', '3D Sets', 'Multi-task Learning', 'Direct Losses', 'Cluster Centers']",,113,"We propose a novel method for instance label segmentation of dense 3D voxel grids. We target volumetric scene representations, which have been acquired with depth sensors or multi-view stereo methods and which have been processed with semantic 3D reconstruction or scene completion methods. The main task is to learn shape information about individual object instances in order to accurately separate them, including connected and incompletely scanned objects. We solve the 3D instance-labeling problem with a multi-task learning strategy. The first goal is to learn an abstract feature embedding, which groups voxels with the same instance label close to each other while separating clusters with different instance labels from each other. The second goal is to learn instance information by densely estimating directional information of the instance's center of mass for each voxel. This is particularly useful to find instance boundaries in the clustering post-processing step, as well as, for scoring the segmentation quality for the first goal. Both synthetic and real-world experiments demonstrate the viability and merits of our approach. In fact, it achieves state-of-the-art performance on the ScanNet 3D instance segmentation benchmark."
3D Point Cloud Generative Adversarial Network Based on Tree Structured Graph Convolutions,"Dong Wook Shu, Sung Woo Park, Junseok Kwon","School of Computer Science and Engineering, Chung-Ang University, Seoul, Korea",100.0,south korea,0.0,,"In this paper, we propose a novel generative adversarial network (GAN) for 3D point clouds generation, which is called tree-GAN. To achieve state-of-the-art performance for multi-class 3D point cloud generation, a tree-structured graph convolution network (TreeGCN) is introduced as a generator for tree-GAN. Because TreeGCN performs graph convolutions within a tree, it can use ancestor information to boost the representation power for features. To evaluate GANs for 3D point clouds accurately, we develop a novel evaluation metric called Frechet point cloud distance (FPD). Experimental results demonstrate that the proposed tree-GAN outperforms state-of-the-art GANs in terms of both conventional metrics and FPD, and can generate point clouds for different semantic parts without prior knowledge.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Shu_3D_Point_Cloud_Generative_Adversarial_Network_Based_on_Tree_Structured_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Shu_3D_Point_Cloud_Generative_Adversarial_Network_Based_on_Tree_Structured_ICCV_2019_paper.pdf,,https://github.com/seowok/TreeGAN,,main,Poster,https://ieeexplore.ieee.org/document/9009495/,"['Three-dimensional displays', 'Gallium nitride', 'Generators', 'Convolutional codes', 'Generative adversarial networks', 'Semantics', 'Computer vision']","['Point Cloud', 'Generative Adversarial Networks', 'Tree Structure', '3D Point Cloud', 'Graph Convolution', 'Graph Convolutional Network', 'Point Cloud Generation', 'Computational Efficiency', 'Deep Neural Network', 'Feature Space', 'Latent Space', 'Final Layer', 'Mean Vector', '3D Coordinates', 'Weak Connections', 'Current Point', 'Object Parts', 'Unsupervised Manner', 'Memory Resources', 'Connectivity Information', 'Point Layer', 'Latent Code', 'Fr√©chet Inception Distance', 'Real Point', 'Real Cloud']",,163,"In this paper, we propose a novel generative adversarial network (GAN) for 3D point clouds generation, which is called tree-GAN. To achieve state-of-the-art performance for multi-class 3D point cloud generation, a tree-structured graph convolution network (TreeGCN) is introduced as a generator for tree-GAN. Because TreeGCN performs graph convolutions within a tree, it can use ancestor information to boost the representation power for features. To evaluate GANs for 3D point clouds accurately, we develop a novel evaluation metric called Fr\'echet point cloud distance (FPD). Experimental results demonstrate that the proposed tree-GAN outperforms state-of-the-art GANs in terms of both conventional metrics and FPD, and can generate point clouds for different semantic parts without prior knowledge."
"3D Scene Graph: A Structure for Unified Semantics, 3D Space, and Camera","Iro Armeni, Zhi-Yang He, JunYoung Gwak, Amir R. Zamir, Martin Fischer, Jitendra Malik, Silvio Savarese","Stanford University; Stanford University, University of California, Berkeley; University of California, Berkeley",100.0,usa,0.0,,"A comprehensive semantic understanding of a scene is important for many applications - but in what space should diverse semantic information (e.g., objects, scene categories, material types, 3D shapes, etc.) be grounded and what should be its structure? Aspiring to have one unified structure that hosts diverse types of semantics, we follow the Scene Graph paradigm in 3D, generating a 3D Scene Graph. Given a 3D mesh and registered panoramic images, we construct a graph that spans the entire building and includes semantics on objects (e.g., class, material, shape and other attributes), rooms (e.g., function, illumination type, etc.) and cameras (e.g., location, etc.), as well as the relationships among these entities. However, this process is prohibitively labor heavy if done manually. To alleviate this we devise a semi-automatic framework that employs existing detection methods and enhances them using two main constraints: I. framing of query images sampled on panoramas to maximize the performance of 2D detectors, and II. multi-view consistency enforcement across 2D detections that originate in different camera locations.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Armeni_3D_Scene_Graph_A_Structure_for_Unified_Semantics_3D_Space_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Armeni_3D_Scene_Graph_A_Structure_for_Unified_Semantics_3D_Space_ICCV_2019_paper.pdf,http://3dscenegraph.stanford.edu,,,main,Poster,https://ieeexplore.ieee.org/document/9008302/,"['Three-dimensional displays', 'Semantics', 'Cameras', 'Buildings', 'Visualization', 'Shape', 'Two dimensional displays']","['3D Space', '3D Graph', 'Scene Graph', '3D Scene Graph', 'Semantic Information', '3D Mesh', '3D Shape', 'Camera Position', 'Scene Classification', 'Semantic Types', 'Unified Structure', 'Automatic Method', 'Affordances', 'Confidence Score', 'Object Classification', 'Imaging Center', 'RGB Images', 'Majority Voting', 'Graph Structure', 'Mask R-CNN', 'Conditional Random Field', 'Objects In The Scene', 'COCO Dataset', 'Camera Pose', 'Semantic Annotation', 'Object Instances', 'Spatial Order', 'Feature Pyramid Network', 'Human Labor']",,163,"A comprehensive semantic understanding of a scene is important for many applications - but in what space should diverse semantic information (e.g., objects, scene categories, material types, 3D shapes, etc.) be grounded and what should be its structure? Aspiring to have one unified structure that hosts diverse types of semantics, we follow the Scene Graph paradigm in 3D, generating a 3D Scene Graph. Given a 3D mesh and registered panoramic images, we construct a graph that spans the entire building and includes semantics on objects (e.g., class, material, shape and other attributes), rooms (e.g., function, illumination type, etc.) and cameras (e.g., location, etc.), as well as the relationships among these entities. However, this process is prohibitively labor heavy if done manually. To alleviate this we devise a semi-automatic framework that employs existing detection methods and enhances them using two main constraints: I. framing of query images sampled on panoramas to maximize the performance of 2D detectors, and II. multi-view consistency enforcement across 2D detections that originate in different camera locations."
3D Scene Reconstruction With Multi-Layer Depth and Epipolar Transformers,"Daeyun Shin, Zhile Ren, Erik B. Sudderth, Charless C. Fowlkes","University of California, Irvine; Georgia Institute of Technology",100.0,"USA, usa",0.0,,"We tackle the problem of automatically reconstructing a complete 3D model of a scene from a single RGB image. This challenging task requires inferring the shape of both visible and occluded surfaces. Our approach utilizes viewer-centered, multi-layer representation of scene geometry adapted from recent methods for single object shape completion. To improve the accuracy of view-centered representations for complex scenes, we introduce a novel ""Epipolar Feature Transformer"" that transfers convolutional network features from an input view to other virtual camera viewpoints, and thus better covers the 3D scene geometry. Unlike existing approaches that first detect and localize objects in 3D, and then infer object shape using category-specific models, our approach is fully convolutional, end-to-end differentiable, and avoids the resolution and memory limitations of voxel representations. We demonstrate the advantages of multi-layer depth representations and epipolar feature transformers on the reconstruction of a large database of indoor scenes.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Shin_3D_Scene_Reconstruction_With_Multi-Layer_Depth_and_Epipolar_Transformers_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Shin_3D_Scene_Reconstruction_With_Multi-Layer_Depth_and_Epipolar_Transformers_ICCV_2019_paper.pdf,https://research.dshin.org/iccv19/multi-layer-depth,,,main,Poster,https://ieeexplore.ieee.org/document/9009500/,"['Three-dimensional displays', 'Shape', 'Solid modeling', 'Geometry', 'Cameras', 'Image reconstruction', 'Surface reconstruction']","['3D Reconstruction', '3D Scene', 'RGB Images', 'Object Shape', 'Surface Shape', '3D Geometry', 'Visible Surface', 'Complete 3D', 'Single Shape', 'Scene Geometry', 'Virtual Camera', 'Camera Viewpoint', 'Convolutional Neural Network', 'Input Image', 'Feature Maps', 'Precision And Recall', 'Point Cloud', 'Semantic Segmentation', 'Depth Map', 'Depth Images', '3D Shape', 'Scene Representation', 'Overhead Camera', 'Frontal Networks', 'Gating Function', 'Huber Loss', 'Height Map', 'Convolutional Neural Network Features', 'Ground Truth Depth', 'Semantic Segmentation Network']",,42,"We tackle the problem of automatically reconstructing a complete 3D model of a scene from a single RGB image. This challenging task requires inferring the shape of both visible and occluded surfaces. Our approach utilizes viewer-centered, multi-layer representation of scene geometry adapted from recent methods for single object shape completion. To improve the accuracy of view-centered representations for complex scenes, we introduce a novel ""Epipolar Feature Transformer"" that transfers convolutional network features from an input view to other virtual camera viewpoints, and thus better covers the 3D scene geometry. Unlike existing approaches that first detect and localize objects in 3D, and then infer object shape using category-specific models, our approach is fully convolutional, end-to-end differentiable, and avoids the resolution and memory limitations of voxel representations. We demonstrate the advantages of multi-layer depth representations and epipolar feature transformers on the reconstruction of a large database of indoor scenes."
3D-LaneNet: End-to-End 3D Multiple Lane Detection,"Noa Garnett, Rafi Cohen, Tomer Pe'er, Roee Lahav, Dan Levi","General Motors Israel, HaMada St. 7, Herzlya, Israel",0.0,,100.0,Israel,"We introduce a network that directly predicts the 3D layout of lanes in a road scene from a single image. This work marks a first attempt to address this task with on-board sensing without assuming a known constant lane width or relying on pre-mapped environments. Our network architecture, 3D-LaneNet, applies two new concepts: intra-network inverse-perspective mapping (IPM) and anchor-based lane representation. The intra-network IPM projection facilitates a dual-representation information flow in both regular image-view and top-view. An anchor-per-column output representation enables our end-to-end approach which replaces common heuristics such as clustering and outlier rejection, casting lane estimation as an object detection problem. In addition, our approach explicitly handles complex situations such as lane merges and splits. Results are shown on two new 3D lane datasets, a synthetic and a real one. For comparison with existing methods, we test our approach on the image-only tuSimple lane detection benchmark, achieving performance competitive with state-of-the-art.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Garnett_3D-LaneNet_End-to-End_3D_Multiple_Lane_Detection_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Garnett_3D-LaneNet_End-to-End_3D_Multiple_Lane_Detection_ICCV_2019_paper.pdf,,,,main,Poster,https://ieeexplore.ieee.org/document/9008811/,"['Three-dimensional displays', 'Cameras', 'Roads', 'Task analysis', 'Feature extraction', 'Estimation', 'Pipelines']","['Multiple Lanes', 'Lane Detection', 'Object Detection', 'Street Scenes', 'Outlier Rejection', 'Dual Representation', 'Terrain', 'Convolutional Neural Network', 'Feature Maps', 'Network Output', 'Real-world Datasets', 'Top View', '3D Point', 'Image Domain', 'Translation Invariance', 'Local Position', 'Homography', 'Top-view Images', '3D Detection', 'Dual Pathway', '3D Curves', 'Camera Height', 'Camera Coordinate', 'Lane Markings', 'Pitch Height', 'Secondary Roads', 'Local Roads', 'Learning Rate', 'Typical Output', 'Validation Set']",,109,"We introduce a network that directly predicts the 3D layout of lanes in a road scene from a single image. This work marks a first attempt to address this task with on-board sensing without assuming a known constant lane width or relying on pre-mapped environments. Our network architecture, 3D-LaneNet, applies two new concepts: intra-network inverse-perspective mapping (IPM) and anchor-based lane representation. The intra-network IPM projection facilitates a dual-representation information flow in both regular image-view and top-view. An anchor-per-column output representation enables our end-to-end approach which replaces common heuristics such as clustering and outlier rejection, casting lane estimation as an object detection problem. In addition, our approach explicitly handles complex situations such as lane merges and splits. Results are shown on two new 3D lane datasets, a synthetic and a real one. For comparison with existing methods, we test our approach on the image-only tuSimple lane detection benchmark, achieving performance competitive with state-of-the-art."
3D-RelNet: Joint Object and Relational Network for 3D Prediction,"Nilesh Kulkarni, Ishan Misra, Shubham Tulsiani, Abhinav Gupta","Carnegie Mellon University; University of California, Berkeley",100.0,usa,0.0,,"We propose an approach to predict the 3D shape and pose for the objects present in a scene. Existing learning based methods that pursue this goal make independent predictions per object, and do not leverage the relationships amongst them. We argue that reasoning about these relationships is crucial, and present an approach to incorporate these in a 3D prediction framework. In addition to independent per-object predictions, we predict pairwise relations in the form of relative 3D pose, and demonstrate that these can be easily incorporated to improve object level estimates. We report performance across different datasets (SUNCG, NYUv2), and show that our approach significantly improves over independent prediction approaches while also outperforming alternate implicit reasoning methods.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Kulkarni_3D-RelNet_Joint_Object_and_Relational_Network_for_3D_Prediction_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Kulkarni_3D-RelNet_Joint_Object_and_Relational_Network_for_3D_Prediction_ICCV_2019_paper.pdf,https://nileshkulkarni.github.io/relative3d/,https://github.com/nileshkulkarni/relative3d,,main,Poster,https://ieeexplore.ieee.org/document/9008257/,"['Three-dimensional displays', 'Shape', 'Cognition', 'Solid modeling', 'Task analysis', 'Layout', 'Two dimensional displays']","['3D Prediction', 'Independent Predictor', '3D Shape', 'Pairwise Relationships', 'Relative Pose', '3D Pose', 'Computer Vision', 'Classification Task', 'Training Time', 'End Of The Spectrum', 'Bounding Box', 'Final Prediction', 'Spatial Coordinates', 'Linear Constraints', 'Pose Estimation', 'Graph Convolutional Network', 'Appendix For Details', 'Objects In The Scene', 'Camera Frame', '3D Scene', 'Object In Frame', 'Ground-truth Box', 'Binary Terms', 'Pose Prediction', 'Higher-order Relationships', 'Related Modules']",,23,"We propose an approach to predict the 3D shape and pose for the objects present in a scene. Existing learning based methods that pursue this goal make independent predictions per object, and do not leverage the relationships amongst them. We argue that reasoning about these relationships is crucial, and present an approach to incorporate these in a 3D prediction framework. In addition to independent per-object predictions, we predict pairwise relations in the form of relative 3D pose, and demonstrate that these can be easily incorporated to improve object level estimates. We report performance across different datasets (SUNCG, NYUv2), and show that our approach significantly improves over independent prediction approaches while also outperforming alternate implicit reasoning methods."
3DPeople: Modeling the Geometry of Dressed Humans,"Albert Pumarola, Jordi Sanchez-Riera, Gary P. T. Choi, Alberto Sanfeliu, Francesc Moreno-Noguer","Institut de Rob `otica i Inform `atica Industrial, CSIC-UPC, Barcelona, Spain; John A. Paulson School of Engineering and Applied Sciences, Harvard University, USA",100.0,"spain, usa",0.0,,"Recent advances in 3D human shape estimation build upon parametric representations that model very well the shape of the naked body, but are not appropriate to represent the clothing geometry. In this paper, we present an approach to model dressed humans and predict their geometry from single images. We contribute in three fundamental aspects of the problem, namely, a new dataset, a novel shape parameterization algorithm and an end-to-end deep generative network for predicting shape. First, we present 3DPeople, a large-scale synthetic dataset with 2 Million photo-realistic images of 80 subjects performing 70 activities and wearing diverse outfits. Besides providing textured 3D meshes for clothes and body we annotated the dataset with segmentation masks, skeletons, depth, normal maps and optical flow. All this together makes 3DPeople suitable for a plethora of tasks. We then represent the 3D shapes using 2D geometry images. To build these images we propose a novel spherical area-preserving parameterization algorithm based on the optimal mass transportation method. We show this approach to improve existing spherical maps which tend to shrink the elongated parts of the full body models such as the arms and legs, making the geometry images incomplete. Finally, we design a multi-resolution deep generative network that, given an input image of a dressed human, predicts his/her geometry image (and thus the clothed body shape) in an end-to-end manner. We obtain very promising results in jointly capturing body pose and clothing shape, both for synthetic validation and on the wild images.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Pumarola_3DPeople_Modeling_the_Geometry_of_Dressed_Humans_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Pumarola_3DPeople_Modeling_the_Geometry_of_Dressed_Humans_ICCV_2019_paper.pdf,,,,main,Poster,https://ieeexplore.ieee.org/document/9008281/,"['Shape', 'Geometry', 'Three-dimensional displays', 'Clothing', 'Cameras', 'Two dimensional displays', 'Optical imaging']","['Deep Network', 'Input Image', 'Single Image', 'Large-scale Datasets', 'Body Shape', 'Optical Flow', '3D Mesh', '3D Shape', 'Optimal Transport', 'Imaging Geometry', 'Photo-realistic Images', 'Normal Map', 'Naked Body', 'Body Pose', 'Deep Generative Network', 'Semantic', 'Supplemental Material', 'Quantitative Results', 'Qualitative Results', 'Human Body Shape', 'Synthetic Images', 'Layer Of The Discriminator', 'Depth Map', 'Person Image', 'Image X', 'Regular Grid', 'Mesh Resolution', 'Skin Color', '3D Reconstruction']",,84,"Recent advances in 3D human shape estimation build upon parametric representations that model very well the shape of the naked body, but are not appropriate to represent the clothing geometry. In this paper, we present an approach to model dressed humans and predict their geometry from single images. We contribute in three fundamental aspects of the problem, namely, a new dataset, a novel shape parameterization algorithm and an end-to-end deep generative network for predicting shape. First, we present 3D-People, a large-scale synthetic dataset with 2 Million photo-realistic images of 80 subjects performing 70 activities and wearing diverse outfits. Besides providing textured 3D meshes for clothes and body we annotated the dataset with segmentation masks, skeletons, depth, normal maps and optical flow. All this together makes 3D-People suitable for a plethora of tasks. We then represent the 3D shapes using 2D geometry images. To build these images we propose a novel spherical area-preserving parameterization algorithm based on the optimal mass transportation method. We show this approach to improve existing spherical maps which tend to shrink the elongated parts of the full body models such as the arms and legs, making the geometry images incomplete. Finally, we design a multi-resolution deep generative network that, given an input image of a dressed human, predicts his/her geometry image (and thus the clothed body shape) in an end-to-end manner. We obtain very promising results in jointly capturing body pose and clothing shape, both for synthetic validation and on the wild images."
6-DOF GraspNet: Variational Grasp Generation for Object Manipulation,"Arsalan Mousavian, Clemens Eppner, Dieter Fox",NVIDIA,0.0,,100.0,USA,"Generating grasp poses is a crucial component for any robot object manipulation task. In this work, we formulate the problem of grasp generation as sampling a set of grasps using a variational autoencoder and assess and refine the sampled grasps using a grasp evaluator model. Both Grasp Sampler and Grasp Refinement networks take 3D point clouds observed by a depth camera as input. We evaluate our approach in simulation and real-world robot experiments. Our approach achieves 88% success rate on various commonly used objects with diverse appearances, scales, and weights. Our model is trained purely in simulation and works in the real-world without any extra steps.",,http://openaccess.thecvf.com/content_ICCV_2019/html/Mousavian_6-DOF_GraspNet_Variational_Grasp_Generation_for_Object_Manipulation_ICCV_2019_paper.html,http://openaccess.thecvf.com/content_ICCV_2019/papers/Mousavian_6-DOF_GraspNet_Variational_Grasp_Generation_for_Object_Manipulation_ICCV_2019_paper.pdf,,,,main,Poster,https://ieeexplore.ieee.org/document/9010919/,"['Three-dimensional displays', 'Grippers', 'Cameras', 'Task analysis', 'Robot vision systems', 'Geometry']","['Grasp Generation', '6-DOF GraspNet', 'Point Cloud', 'Depth Camera', 'Variational Autoencoder', '3D Point Cloud', 'Robot Experiments', 'Collision', 'Training Data', 'Iterative Process', 'Latent Variables', 'Coverage Rate', 'Latent Space', '3D Data', 'Feature Points', 'Robot Manipulator', 'Objects In The Scene', 'Iterative Refinement', 'Point Cloud Data', 'Object Point Cloud', 'Robotic Gripper', 'Object Geometry', 'Physical Simulation', 'Surface Normals', 'Surface Friction', 'Human Pose Estimation', 'Partial Differential', 'Thin Structures', 'RGB Images']",,349,"Generating grasp poses is a crucial component for any robot object manipulation task. In this work, we formulate the problem of grasp generation as sampling a set of grasps using a variational autoencoder and assess and refine the sampled grasps using a grasp evaluator model. Both Grasp Sampler and Grasp Refinement networks take 3D point clouds observed by a depth camera as input. We evaluate our approach in simulation and real-world robot experiments. Our approach achieves 88% success rate on various commonly used objects with diverse appearances, scales, and weights. Our model is trained purely in simulation and works in the real-world without any extra steps."
