Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),389,155,234
Autonomous Vehicles and Robotics,915,376,539
Core Vision Algorithms,989,398,591
Data Collection and Management,1288,567,721
Datasets and Benchmarks,185,88,97
Ethics and Fairness in Vision,26,11,15
Generative Models and Creativity,90,35,55
Human-Centric Vision,176,82,94
Industrial and Manufacturing Applications,330,145,185
Mathematical Foundations,939,365,574
Medical Imaging and Healthcare,105,58,47
Miscellaneous,264,100,164
Natural Language Processing,518,190,328
Natural Scenes and Environmental Analysis,113,49,64
Scene Understanding and Reconstruction,529,224,305
Security and Surveillance,47,25,22
Signal and Statistical Processing,221,73,148
Tools and Frameworks,268,88,180
Video Analysis and Action Recognition,500,196,304
Vision for Social Good,17,5,12
