Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),598,206,392
Autonomous Vehicles and Robotics,1537,526,1011
Core Vision Algorithms,2480,844,1636
Data Collection and Management,2405,841,1564
Datasets and Benchmarks,1023,372,651
Ethics and Fairness in Vision,129,56,73
Generative Models and Creativity,462,166,296
Human-Centric Vision,349,114,235
Industrial and Manufacturing Applications,870,305,565
Mathematical Foundations,1825,625,1200
Medical Imaging and Healthcare,343,105,238
Miscellaneous,2346,851,1495
Natural Language Processing,1195,426,769
Natural Scenes and Environmental Analysis,408,138,270
Scene Understanding and Reconstruction,1176,423,753
Security and Surveillance,339,115,224
Signal and Statistical Processing,576,167,409
Tools and Frameworks,962,333,629
Video Analysis and Action Recognition,997,347,650
Vision for Social Good,190,64,126
