title,author,aff,university_affiliation,university_country,company_affiliation,company_country,abstract,site,oa,pdf,project,github,arxiv,track,status,ieee_link,ieee_keywords,ieee_index_terms,ieee_author_keywords,ieee_citations,ieee_abstract
360MVSNet: Deep Multi-View Stereo Network With 360deg Images for Indoor Scene Reconstruction,"Ching-Ya Chiu, Yu-Ting Wu, I-Chao Shen, Yung-Yu Chuang",The University of Tokyo; National Taiwan University; National Taipei University,100,"Japan, Taiwan",0,,"Recent multi-view stereo methods have achieved promising results with the advancement of deep learning techniques. Despite of the progress, due to the limited fields of view of regular images, reconstructing large indoor environments still requires collecting many images with sufficient visual overlap, which is quite labor-intensive. 360deg images cover a much larger field of view than regular images and would facilitate the capture process. In this paper, we present 360MVSNet, the first deep learning network for multi-view stereo with 360deg images. Our method combines uncertainty estimation with a spherical sweeping module for 360deg images captured from multiple viewpoints in order to construct multi-scale cost volumes. By regressing volumes in a coarse-to-fine manner, high-resolution depth maps can be obtained. Furthermore, we have constructed EQMVS, a large-scale synthetic dataset that consists of over 50K pairs of RGB and depth maps in equirectangular projection. Experimental results demonstrate that our method can reconstruct large synthetic and real-world indoor scenes with significantly better completeness than previous traditional and learning-based methods while saving both time and effort in the data acquisition process.",https://openaccess.thecvf.com/content/WACV2023/html/Chiu_360MVSNet_Deep_Multi-View_Stereo_Network_With_360deg_Images_for_Indoor_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Chiu_360MVSNet_Deep_Multi-View_Stereo_Network_With_360deg_Images_for_Indoor_WACV_2023_paper.pdf,,,,main,Poster,,,,,,
3D Change Localization and Captioning From Dynamic Scans of Indoor Scenes,"Yue Qiu, Shintaro Yamamoto, Ryosuke Yamada, Ryota Suzuki, Hirokatsu Kataoka, Kenji Iwata, Yutaka Satoh",National Institute of Advanced Industrial Science and Technology (AIST),100,Japan,0,,"Daily indoor scenes often involve constant changes due to human activities. To recognize scene changes, existing change captioning methods focus on describing changes from two images of a scene. However, to accurately perceive and appropriately evaluate physical changes and then identify the geometry of changed objects, recognizing and localizing changes in 3D space is crucial. Therefore, we propose a task to explicitly localize changes in 3D bounding boxes from two point clouds and describe detailed scene changes, including change types, object attributes, and spatial locations. Moreover, we create a simulated dataset with various scenes, allowing generating data without labor costs. We further propose a framework that allows different 3D object detectors to be incorporated in the change detection process, after which captions are generated based on the correlations of different change regions. The proposed framework achieves promising results in both change detection and captioning. Furthermore, we also evaluated on data collected from real scenes. The experiments show that pretraining on the proposed dataset increases the change detection accuracy by +12.8% (mAP0.25) when applied to real-world data. We believe that our proposed dataset and discussion could provide both a new benchmark and insights for future studies in scene change understanding.",https://openaccess.thecvf.com/content/WACV2023/html/Qiu_3D_Change_Localization_and_Captioning_From_Dynamic_Scans_of_Indoor_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Qiu_3D_Change_Localization_and_Captioning_From_Dynamic_Scans_of_Indoor_WACV_2023_paper.pdf,,,,main,Poster,https://ieeexplore.ieee.org/document/10030121/,"['Location awareness', 'Point cloud compression', 'Three-dimensional displays', 'Image recognition', 'Limiting', 'Detectors', 'Benchmark testing']","['Dynamic Scan', 'Change Detection', 'Object Detection', 'Point Cloud', '3D Space', 'Bounding Box', 'Scene Images', 'Constant Change', 'Scene Changes', '3D Detection', '3D Object Detection', '3D Bounding Box', 'Model Performance', 'Transformer', 'Regional Characteristics', 'Real-world Applications', 'Feature Dimension', '2D Images', 'Object Classification', 'Feature Points', 'Dynamic Scenes', '3D Scanning', 'Real-world Environments', 'Predicted Bounding Box', '3D Point Cloud', '3D Environment', 'Detection Head', '3D Scene', 'Detection Dataset', 'Point Cloud Processing']","['Algorithms: Vision + language and/or other modalities', '3D computer vision']",6,"Daily indoor scenes often involve constant changes due to human activities. To recognize scene changes, existing change captioning methods focus on describing changes from two images of a scene. However, to accurately perceive and appropriately evaluate physical changes and then identify the geometry of changed objects, recognizing and localizing changes in 3D space is crucial. Therefore, we propose a task to explicitly localize changes in 3D bounding boxes from two point clouds and describe detailed scene changes, including change types, object attributes, and spatial locations. Moreover, we create a simulated dataset with various scenes, allowing generating data without labor costs. We further propose a framework that allows different 3D object detectors to be incorporated in the change detection process, after which captions are generated based on the correlations of different change regions. The proposed framework achieves promising results in both change detection and captioning. Furthermore, we also evaluated on data collected from real scenes. The experiments show that pretraining on the proposed dataset increases the change detection accuracy by +12.8% (mAP0.25) when applied to real-world data. We believe that our proposed dataset and discussion could provide both a new benchmark and in-sights for future studies in scene change understanding."
3D GAN Inversion With Pose Optimization,"Jaehoon Ko, Kyusun Cho, Daewon Choi, Kwangrok Ryoo, Seungryong Kim","Korea University, South Korea",100,South Korea,0,,"With the recent advances in NeRF-based 3D aware GANs quality, projecting an image into the latent space of these 3D-aware GANs has a natural advantage over 2D GAN inversion: not only does it allow multi-view consistent editing of the projected image, but it also enables 3D reconstruction and novel view synthesis when given only a single image. However, the explicit viewpoint control acts as a main hindrance in the 3D GAN inversion process, as both camera pose and latent code have to be optimized simultaneously to reconstruct the given image. Most works that explore the latent space of the 3D-aware GANs rely on ground-truth camera viewpoint or deformable 3D model, thus limiting their applicability. In this work, we introduce a generalizable 3D GAN inversion method that infers camera viewpoint and latent code simultaneously to enable multi-view consistent semantic image editing. The key to our approach is to leverage pre-trained estimators for better initialization and utilize the pixel-wise depth calculated from NeRF parameters to better reconstruct the given image. We conduct extensive experiments on image reconstruction and editing both quantitatively and qualitatively, and further compare our results with 2D GAN-based editing to demonstrate the advantages of utilizing the latent space of 3D GANs. Additional results and visualizations are available at https://hypernerf.github.io/.",https://openaccess.thecvf.com/content/WACV2023/html/Ko_3D_GAN_Inversion_With_Pose_Optimization_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Ko_3D_GAN_Inversion_With_Pose_Optimization_WACV_2023_paper.pdf,,https://3dgan-inversion.github.io/,2210.07301,main,Poster,https://ieeexplore.ieee.org/document/10030750/,"['Visualization', 'Solid modeling', 'Three-dimensional displays', 'Codes', 'Semantics', 'Process control', 'Aerospace electronics']","['Generative Adversarial Networks', 'Pose Optimization', 'Generative Adversarial Networks Inversion', '3D Generative Adversarial Networks', 'Single Image', '3D Reconstruction', 'Latent Space', 'Inverse Method', 'Inversion Process', 'Camera Pose', 'Image Editing', 'Latent Code', 'Explicit Control', 'View Synthesis', 'Camera Viewpoint', 'Loss Function', 'Manifold', 'High-resolution Images', 'Quantitative Evaluation', 'Image Generation', 'Image X', 'Fréchet Inception Distance', 'Optimization Step', 'Latent Representation', 'Pose Estimation', 'Regularization Loss', 'Reconstruction Accuracy', 'Semantic Properties', 'Depth Map', 'StyleGAN']","['Algorithms: 3D computer vision', 'Biometrics', 'face', 'gesture', 'body pose', 'Computational photography', 'image and video synthesis']",29,"With the recent advances in NeRF-based 3D aware GANs quality, projecting an image into the latent space of these 3D-aware GANs has a natural advantage over 2D GAN inversion: not only does it allow multi-view consistent editing of the projected image, but it also enables 3D reconstruction and novel view synthesis when given only a single image. However, the explicit viewpoint control acts as a main hindrance in the 3D GAN inversion process, as both camera pose and latent code have to be optimized simultaneously to reconstruct the given image. Most works that explore the latent space of the 3D-aware GANs rely on ground-truth camera viewpoint or deformable 3D model, thus limiting their applicability. In this work, we introduce a generalizable 3D GAN inversion method that infers camera viewpoint and latent code simultaneously to enable multi-view consistent semantic image editing. The key to our approach is to leverage pre-trained estimators for better initialization and utilize the pixel-wise depth calculated from NeRF parameters to better reconstruct the given image. We conduct extensive experiments on image reconstruction and editing both quantitatively and qualitatively, and further compare our results with 2D GAN-based editing to demonstrate the advantages of utilizing the latent space of 3D GANs. Additional results and visualizations are available at https://3dgan-inversion.github.io/."
3D Neural Sculpting (3DNS): Editing Neural Signed Distance Functions,"Petros Tzathas, Petros Maragos, Anastasios Roussos","College of Engineering, Mathematics and Physical Sciences, University of Exeter, UK; School of Electrical & Computer Engineering, National Technical University of Athens, Greece; Institute of Computer Science (ICS), Foundation for Research & Technology - Hellas (FORTH), Greece",100,"Greece, UK",0,,"In recent years, implicit surface representations through neural networks that encode the signed distance have gained popularity and have achieved state-of-the-art results in various tasks (e.g. shape representation, shape reconstruction and learning shape priors). However, in contrast to conventional shape representations such as polygon meshes, the implicit representations cannot be easily edited and existing works that attempt to address this problem are extremely limited. In this work, we propose the first method for efficient interactive editing of signed distance functions expressed through neural networks, allowing free-form editing. Inspired by 3D sculpting software for meshes, we use a brush-based framework that is intuitive and can in the future be used by sculptors and digital artists. In order to localize the desired surface deformations, we regulate the network by using a copy of it to sample the previously expressed surface. We introduce a novel framework for simulating sculpting-style surface edits, in conjunction with interactive surface sampling and efficient adaptation of network weights. We qualitatively and quantitatively evaluate our method in various different 3D objects and under many different edits. The reported results clearly show that our method yields high accuracy, in terms of achieving the desired edits, while in the same time preserving the geometry outside the interaction areas.",https://openaccess.thecvf.com/content/WACV2023/html/Tzathas_3D_Neural_Sculpting_3DNS_Editing_Neural_Signed_Distance_Functions_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Tzathas_3D_Neural_Sculpting_3DNS_Editing_Neural_Signed_Distance_Functions_WACV_2023_paper.pdf,,,2209.13971,main,Poster,https://ieeexplore.ieee.org/document/10030429,"['Geometry', 'Surface reconstruction', 'Computer vision', 'Three-dimensional displays', 'Shape', 'Neural networks', 'Software']","['Signed Distance Function', 'Interactive', 'Neural Network', '3D Mesh', '3D Software', 'Implicit Representation', 'Digital Art', 'Functional Networks', 'Normal Vector', 'Point Cloud', 'Multilayer Perceptron', 'Stationary Distribution', 'Bounding Box', 'Radial Basis Function', 'Spatial Coordinates', 'Neural Representations', 'Point-of-sale', '3D Shape', 'Set Of Networks', 'Implicit Function', 'Analytical Representation', 'Chamfer Distance', 'Voxel Grid', 'Tangent Plane', 'Implicit Function Theorem', 'Rest Of Surface', 'Loss Function', 'Markov Chain']",['Algorithms: 3D computer vision'],,"In recent years, implicit surface representations through neural networks that encode the signed distance have gained popularity and have achieved state-of-the-art results in various tasks (e.g. shape representation, shape reconstruction, and learning shape priors). However, in contrast to conventional shape representations such as polygon meshes, the implicit representations cannot be easily edited and existing works that attempt to address this problem are extremely limited. In this work, we propose the first method for efficient interactive editing of signed distance functions expressed through neural networks, allowing free-form editing. Inspired by 3D sculpting software for meshes, we use a brush-based framework that is intuitive and can in the future be used by sculptors and digital artists. In order to localize the desired surface deformations, we regulate the network by using a copy of it to sample the previously expressed surface. We introduce a novel framework for simulating sculpting-style surface edits, in conjunction with interactive surface sampling and efficient adaptation of network weights. We qualitatively and quantitatively evaluate our method in various different 3D objects and under many different edits. The reported results clearly show that our method yields high accuracy, in terms of achieving the desired edits, while at the same time preserving the geometry outside the interaction areas."
3D-SpLineNet: 3D Traffic Line Detection Using Parametric Spline Representations,"Maximilian Pittner, Alexandru Condurache, Joel Janai","Institute of Signal Processing, University of Lubeck, 23562 Lubeck, Germany; Bosch Mobility Solutions, Robert Bosch GmbH, 71229 Leonberg, Germany",50,Germany,50,Germany,"Monocular 3D traffic line detection jointly tackles the detection of lane markings and regression of their 3D location. The greatest challenge is the exact estimation of various line shapes in the world, which highly depends on the chosen representation. While anchor-based and grid-based line representations have been proposed, all suffer from the same limitation, the necessity of discretizing the 3D space. To address this limitation, we present an anchor-free parametric lane representation, which defines traffic lines as continuous curves in 3D space. Choosing splines as our representation, we show their superiority over polynomials of different degrees that were proposed in previous 2D lane detection approaches. Our continuous representation allows us to model even complex lane shapes at any position in the 3D space, while implicitly enforcing smoothness constraints. Our model is validated on a synthetic 3D lane dataset including a variety of scenes in terms of complexity of road shape and illumination. We outperform the state-of-the-art in nearly all geometric performance metrics and achieve a great leap in the detection rate. In contrast to discrete representations, our parametric model requires no post-processing achieving highest processing speed. Additionally, we provide a thorough analysis over different parametric representations for 3D lane detection. The code and trained models are available on our project website https://3d-splinenet.github.io/.",https://openaccess.thecvf.com/content/WACV2023/html/Pittner_3D-SpLineNet_3D_Traffic_Line_Detection_Using_Parametric_Spline_Representations_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Pittner_3D-SpLineNet_3D_Traffic_Line_Detection_Using_Parametric_Spline_Representations_WACV_2023_paper.pdf,https://3d-splinenet.github.io/,https://3d-splinenet.github.io/,,main,Poster,https://ieeexplore.ieee.org/document/10030921/,"['Measurement', 'Solid modeling', 'Three-dimensional displays', 'Shape', 'Lane detection', 'Roads', 'Lighting']","['Traffic Detection', 'Traffic Lines', 'Spline Representation', 'Discretion', 'Parametrized', '3D Space', 'Complex Shapes', 'Position In Space', 'Polynomial Of Degree', 'Line Shape', 'Continuous Curve', 'Lane Markings', 'Convolutional Neural Network', 'Deep Neural Network', 'Feature Maps', 'Line Segment', 'Vertical Component', 'Representational Analysis', 'Domain Adaptation', 'Curve Parameters', 'Detection Head', '3D Geometry', '3D Line', 'Bezier Curve', '3D Curves', 'Ground Truth 3D', 'Road Markings', 'Anchor-based Methods', '3rd Degree', '3D World']","['Applications: Robotics', '3D computer vision', 'Image recognition and understanding (object detection', 'categorization', 'segmentation', 'scene modeling', 'visual reasoning)']",3,"Monocular 3D traffic line detection jointly tackles the detection of lane markings and regression of their 3D location. The greatest challenge is the exact estimation of various line shapes in the world, which highly depends on the chosen representation. While anchor-based and grid-based line representations have been proposed, all suffer from the same limitation, the necessity of discretizing the 3D space. To address this limitation, we present an anchor-free parametric lane representation, which defines traffic lines as continuous curves in 3D space. Choosing splines as our representation, we show their superiority over polynomials of different degrees that were proposed in previous 2D lane detection approaches. Our continuous representation allows us to model even complex lane shapes at any position in the 3D space, while implicitly enforcing smoothness constraints. Our model is validated on a synthetic 3D lane dataset including a variety of scenes in terms of complexity of road shape and illumination. We outperform the state-of-the-art in nearly all geometric performance metrics and achieve a great leap in the detection rate. In contrast to discrete representations, our parametric model requires no post-processing achieving highest processing speed. Additionally, we provide a thorough analysis over different parametric representations for 3D lane detection. The code and trained models are available on our project website https://3d-splinenet.github.io/."
3DMM-RF: Convolutional Radiance Fields for 3D Face Modeling,"Stathis Galanakis, Baris Gecer, Alexandros Lattas, Stefanos Zafeiriou",Huawei; Imperial College London,50,UK,50,China,"Facial 3D Morphable Models are a main computer vision subject with countless applications and have been highly optimized in the last two decades. The tremendous improvements of deep generative networks have created various possibilities for improving such models and have attracted wide interest. Moreover, the recent advances in neural radiance fields, are revolutionising novel-view synthesis of known scenes. In this work, we present a facial 3D Morphable Model, which exploits both of the above, and can accurately model a subject's identity, pose and expression and render it in arbitrary illumination. This is achieved by utilizing a powerful deep style-based generator to overcome two main weaknesses of neural radiance fields, their rigidity and rendering speed. We introduce a style-based generative network that synthesizes in one pass all and only the required rendering samples of a neural radiance field. We create a vast labelled synthetic dataset of facial renders, and train the network, so that it can accurately model and generalize on facial identity, pose and appearance. Finally, we show that this model can accurately be fit to ""in-the-wild"" facial images of arbitrary pose and illumination, extract the facial characteristics, and be used to re-render the face in controllable conditions.",https://openaccess.thecvf.com/content/WACV2023/html/Galanakis_3DMM-RF_Convolutional_Radiance_Fields_for_3D_Face_Modeling_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Galanakis_3DMM-RF_Convolutional_Radiance_Fields_for_3D_Face_Modeling_WACV_2023_paper.pdf,,,,main,Poster,https://ieeexplore.ieee.org/document/10030332/,"['Solid modeling', 'Computer vision', 'Three-dimensional displays', 'Computational modeling', 'Lighting', 'Rendering (computer graphics)', 'Generators']","['3D Face', '3D Face Model', 'Radiance Field', 'Face Images', 'Neural Field', 'Deep Generative Network', 'Model Parameters', 'Statistical Models', 'Training Data', 'Training Time', 'Single Image', '3D Reconstruction', 'Identification Of Features', 'Multilayer Perceptron', 'Generative Adversarial Networks', 'Latent Space', 'Human Faces', 'Implicit Function', 'Single Pass', 'Camera Position', 'Latent Vector', 'Volume Rendering', 'Identity Vector', 'View Of The Scene', 'Synthesis Network', 'Signed Distance Function', 'Illumination Variations']","['Algorithms: Biometrics', 'face', 'gesture', 'body pose', '3D computer vision']",7,"Facial 3D Morphable Models are a main computer vision subject with countless applications and have been highly optimized in the last two decades. The tremendous improvements of deep generative networks have created various possibilities for improving such models and have attracted wide interest. Moreover, the recent advances in neural radiance fields, are revolutionising novel-view synthesis of known scenes. In this work, we present a facial 3D Morphable Model, which exploits both of the above, and can accurately model a subject’s identity, pose and expression and render it in arbitrary illumination. This is achieved by utilizing a powerful deep style-based generator to overcome two main weaknesses of neural radiance fields, their rigidity and rendering speed. We introduce a style-based generative network that synthesizes in one pass all and only the required rendering samples of a neural radiance field. We create a vast labelled synthetic dataset of facial renders, and train the network, so that it can accurately model and generalize on facial identity, pose and appearance. Finally, we show that this model can accurately be fit to ""in-the-wild"" facial images of arbitrary pose and illumination, extract the facial characteristics, and be used to re-render the face in controllable conditions."
"A Continual Deepfake Detection Benchmark: Dataset, Methods, and Essentials","Chuqiao Li, Zhiwu Huang, Danda Pani Paudel, Yabin Wang, Mohamad Shahbazi, Xiaopeng Hong, Luc Van Gool","Harbin Institute of Technology, China; Xi’an Jiaotong University, China; ETH Zürich, Switzerland; Singapore Management University, Singapore; KU Leuven, Belgium",100,"Belgium, China, Singapore, Switzerland",0,,"There have been emerging a number of benchmarks and techniques for the detection of deepfakes. However, very few works study the detection of incrementally appearing deepfakes in the real-world scenarios. To simulate the wild scenes, this paper suggests a continual deepfake detection benchmark (CDDB) over a new collection of deepfakes from both known and unknown generative models. The suggested CDDB designs multiple evaluations on the detection over easy, hard, and long sequence of deepfake tasks, with a set of appropriate measures. In addition, we exploit multiple approaches to adapt multiclass incremental learning methods, commonly used in the continual visual recognition, to the continual deepfake detection problem. We evaluate existing methods, including their adapted ones, on the proposed CDDB. Within the proposed benchmark, we explore some commonly known essentials of standard continual learning. Our study provides new insights on these essentials in the context of continual deepfake detection. The suggested CDDB is clearly more challenging than the existing benchmarks, which thus offers a suitable evaluation avenue to the future research. Both data and code are available at https://github.com/Coral79/CDDB.",https://openaccess.thecvf.com/content/WACV2023/html/Li_A_Continual_Deepfake_Detection_Benchmark_Dataset_Methods_and_Essentials_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Li_A_Continual_Deepfake_Detection_Benchmark_Dataset_Methods_and_Essentials_WACV_2023_paper.pdf,,https://github.com/Coral79/CDDB,2205.05467,main,Poster,https://ieeexplore.ieee.org/document/10030946/,"['Learning systems', 'Deepfakes', 'Visualization', 'Computer vision', 'Adaptation models', 'Codes', 'Benchmark testing']","['Benchmark', 'Deepfake Detection', 'Real-world Scenarios', 'Incremental Learning', 'Sequential Task', 'Unknown Model', 'Multi-label', 'ImageNet', 'Real Samples', 'Detection Task', 'Classification Loss', 'Null Space', 'Multi-task Learning', 'Image Synthesis', 'Unknown Source', 'Previous Tasks', 'Independent Classification', 'Upper Triangular', 'Evaluation Scenarios', 'Real Class', 'Catastrophic Forgetting', 'Multi-class Model', 'Distillation Loss', 'Fake Images', 'Easy Evaluation', 'Sample Xi', 'Source Model']","['Algorithms: Image recognition and understanding (object detection', 'categorization', 'segmentation)', 'Computational photography', 'image and video synthesis', 'Machine learning architectures', 'formulations', 'and algorithms (including transfer', 'low-shot', 'semi-', 'self-', 'and un-supervised learning)']",12,"There have been emerging a number of benchmarks and techniques for the detection of deepfakes. However, very few works study the detection of incrementally appearing deepfakes in the real-world scenarios. To simulate the wild scenes, this paper suggests a continual deepfake detection benchmark (CDDB) over a new collection of deepfakes from both known and unknown generative models. The suggested CDDB designs multiple evaluations on the detection over easy, hard, and long sequence of deepfake tasks, with a set of appropriate measures. In addition, we exploit multiple approaches to adapt multiclass incremental learning methods, commonly used in the continual visual recognition, to the continual deepfake detection problem. We evaluate existing methods, including their adapted ones, on the proposed CDDB. Within the proposed benchmark, we explore some commonly known essentials of standard continual learning. Our study provides new insights on these essentials in the context of continual deepfake detection. The suggested CDDB is clearly more challenging than the existing benchmarks, which thus offers a suitable evaluation avenue to the future research. Both data and code are available at https://github.com/Coral79/CDDB."
A Deep Neural Framework To Detect Individual Advertisement (Ad) From Videos,Zongyi Liu,"FGBS, Amazon.com, 2121 7th Ave, Seattle, WA, USA",0,,100,USA,"Detecting commercial Ads from a video is important. For example, the commercial break frequency and duration are two metrics to measure the user experience for streaming service providers such as Amazon IMDb TV. The detection can be done intrusively by intercepting the network traffic and then parsing the service providers data and logs, or non-intrusively by capturing the videos streamed by content providers and then analyzing using the computer vision technologies. In this paper, we present a non-intrusive framework that is able to not only detect an Ad section, but also segment out individual Ads. We show that our algorithm is not only scalable because it uses light weight audio data to do global segmentation, but also robust as the Ad classifier is able to handle different types of contents captured from the popular streaming services such as the IMDb TV, Hulu, CrackleTV, and Prime Video (PV) live sports.",https://openaccess.thecvf.com/content/WACV2023/html/Liu_A_Deep_Neural_Framework_To_Detect_Individual_Advertisement_Ad_From_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Liu_A_Deep_Neural_Framework_To_Detect_Individual_Advertisement_Ad_From_WACV_2023_paper.pdf,,,,main,Poster,https://ieeexplore.ieee.org/document/10030792/,"['Computer vision', 'TV', 'Telecommunication traffic', 'Streaming media', 'Motion pictures', 'User experience', 'Frequency measurement']","['Computer Vision', 'Live Streaming', 'Audio Data', 'Computer Vision Technology', 'Sampling Rate', 'False Positive Rate', 'Long Short-term Memory', 'Transfer Learning', 'Video Clips', 'Short Segments', 'Video Data', 'Handcrafted Features', 'Short Video', 'Long Short-term Memory Model', 'Video Segments', 'Triplet Loss', 'Audio Clips', 'Vision Transformer', 'Segmentation Module', 'Fast Pathway', 'DNN Model', 'Temporal Attention', 'Video Playback', 'Post-processing Step', 'Scene Changes', 'Output Pathways', 'False Positive', 'Segmentation Step', 'Support Vector Machine']","['Applications: Commercial/retail', 'Video recognition and understanding (tracking', 'action recognition', 'etc.)', 'Vision + language and/or other modalities']",1,"Detecting commercial Ads from a video is important. For example, the commercial break frequency and duration are two metrics to measure the user experience for streaming service providers such as Amazon Freevee. The detection can be done intrusively by intercepting the network traffic and then parsing the service providers data and logs, or non-intrusively by capturing the videos streamed by content providers and then analyzing using the computer vision technologies. In this paper, we present a non-intrusive framework that is able to not only detect an Ad section, but also segment out individual Ads. We show that our algorithm is scalable because it uses light weight audio data to do global segmentation, as well as is domain crossing (movies, TVs and live streaming sports) captured from the popular streaming services such as the Freevee and the Prime Video (PV) live sports."
A Morphology Focused Diffusion Probabilistic Model for Synthesis of Histopathology Images,"Puria Azadi Moghadam, Sanne Van Dalen, Karina C. Martin, Jochen Lennerz, Stephen Yip, Hossein Farahani, Ali Bashashati",University of British Columbia; Eindhoven University of Technology; BC Cancer Agency; Harvard Medical School,75,"Canada, Netherlands, USA",25,Canada,"Visual microscopic study of diseased tissue by pathologists has been the cornerstone for cancer diagnosis and prognostication for more than a century. Recently, deep learning methods have made significant advances in the analysis and classification of tissue images. However, there has been limited work on the utility of such models in generating histopathology images. These synthetic images have several applications in pathology including utilities in education, proficiency testing, privacy, and data sharing. Recently, diffusion probabilistic models were introduced to generate high quality images. Here, for the first time, we investigate the potential use of such models along with prioritized morphology weighting and color normalization to synthesize high quality histopathology images of brain cancer. Our detailed results show that diffusion probabilistic models are capable of synthesizing a wide range of histopathology images and have superior performance compared to generative adversarial networks.",https://openaccess.thecvf.com/content/WACV2023/html/Moghadam_A_Morphology_Focused_Diffusion_Probabilistic_Model_for_Synthesis_of_Histopathology_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Moghadam_A_Morphology_Focused_Diffusion_Probabilistic_Model_for_Synthesis_of_Histopathology_WACV_2023_paper.pdf,,,2209.13167,main,Poster,https://ieeexplore.ieee.org/document/10030927/,"['Visualization', 'Histopathology', 'Image color analysis', 'Computational modeling', 'Microscopy', 'Morphology', 'Brain modeling']","['Image Synthesis', 'Histopathological Images', 'Diffusion Probabilistic Models', 'Generative Adversarial Networks', 'Synthetic Images', 'Use Of Such Models', 'Neural Network', 'Specific Characteristics', 'Hematoxylin And Eosin', 'Distribution Of Cells', 'Random Noise', 'Reversible Process', 'Diffusion Model', 'Latent Space', 'Image Generation', 'Model Discrimination', 'Low-grade Gliomas', 'Imbalanced Datasets', 'Variational Autoencoder', 'Digital Pathology', 'Fréchet Inception Distance', 'Objective Metrics', 'Pathological Images', 'Inception Distance', 'Generative Adversarial Networks Model', 'Board-certified Pathologist', 'Extracellular Matrix']",['Applications: Biomedical/healthcare/medicine'],44,"Visual microscopic study of diseased tissue by pathologists has been the cornerstone for cancer diagnosis and prognostication for more than a century. Recently, deep learning methods have made significant advances in the analysis and classification of tissue images. However, there has been limited work on the utility of such models in generating histopathology images. These synthetic images have several applications in pathology including utilities in education, proficiency testing, privacy, and data sharing. Recently, diffusion probabilistic models were introduced to generate high quality images. Here, for the first time, we investigate the potential use of such models along with prioritized morphology weighting and color normalization to synthesize high quality histopathology images of brain cancer. Our detailed results show that diffusion probabilistic models are capable of synthesizing a wide range of histopathology images and have superior performance compared to generative adversarial networks."
A Neural Video Codec With Spatial Rate-Distortion Control,"Noor Fathima, Jens Petersen, Guillaume Sautière, Auke Wiggers, Reza Pourreza",Qualcomm AI Research,0,,100,USA,"Neural video compression algorithms are nearly competitive with hand-crafted codecs in terms of rate-distortion performance and subjective quality. However, many neural codecs are inflexible black boxes, and give users little to no control over the reconstruction quality and bitrate. In this work, we present a flexible neural video codec that combines ideas from variable-bitrate codecs and region-of-interest-based coding. By conditioning our model on a global rate-distortion tradeoff parameter and a region-of-interest (ROI) mask, we obtain fine control over the per-frame bitrate and the reconstruction quality in the ROI. The resulting codec enables practical use cases such as coding under bitrate constraints with fixed ROI quality, while taking a negligible hit in overall rate-distortion performance. We find that our codec is best utilized when the sequence contains complex motion, such as scenes with camera panning or sports videos, where we substantially outperform non-ROI codecs in the region of interest with BD-rate savings exceeding 60% in some cases.",https://openaccess.thecvf.com/content/WACV2023/html/Fathima_A_Neural_Video_Codec_With_Spatial_Rate-Distortion_Control_WACV_2023_paper.html,,https://openaccess.thecvf.com/content/WACV2023/papers/Fathima_A_Neural_Video_Codec_With_Spatial_Rate-Distortion_Control_WACV_2023_paper.pdf,,,,main,Poster,https://ieeexplore.ieee.org/document/10030824/,"['Teleconferencing', 'Surveillance', 'Bit rate', 'Rate-distortion', 'Quality control', 'Video compression', 'Distortion']","['Video Codec', 'Reconstruction Quality', 'Trade-off Parameter', 'Compression Algorithm', 'Video Compression', 'Neural Compression', 'Practical Use Cases', 'Factorization', 'Latent Variables', 'Training Methods', 'Peak Signal-to-noise Ratio', 'Video Sequences', 'Sequence Of Frames', 'Semantic Annotation', 'Structural Similarity Index Measure', 'Region Of Interest Extraction', 'Latent Scale', 'Region-of-interest Regions']","['Algorithms: Image recognition and understanding (object detection', 'categorization', 'segmentation)', 'Machine learning architectures', 'formulations', 'and algorithms (including transfer', 'low-shot', 'semi-', 'self-', 'and un-supervised learning)', 'Video recognition and understanding (tracking', 'action recognition', 'etc.)']",3,"Neural video compression algorithms are nearly competitive with hand-crafted codecs in terms of rate-distortion performance and subjective quality. However, many neural codecs are inflexible black boxes, and give users little to no control over the reconstruction quality and bitrate. In this work, we present a flexible neural video codec that combines ideas from variable-bitrate codecs and region-of-interest-based coding. By conditioning our model on a global rate-distortion tradeoff parameter and a region-of-interest (ROI) mask, we obtain dynamic control over the per-frame bitrate and the reconstruction quality in the ROI at test time. The resulting codec enables practical use cases such as coding under bitrate constraints with fixed ROI quality, while taking a negligible hit in performance compared to a fixed-rate model. We find that our codec performs best on sequences with complex motion, where we substantially outperform non-ROI codecs in the region of interest with Bjøntegaard-Delta rate savings exceeding 60%."
